Original BHOT names;Edited Gene Name;Entrez Gene
ERRFI1;ERRFI1;54206
EVA1C;EVA1C;59271
EZH2;EZH2;2146
F3;F3;2152
FABP1;FABP1;2168
FADD;FADD;8772
FAM30A;FAM30A;9834
FAS;FAS;355
FASLG;FASLG;356
FCAR;FCAR;2204
FCER1A;FCER1A;2205
FCER1G;FCER1G;2207
FCGR1A;FCGR1A;2209
FCGR2A;FCGR2A;2212
FCGR2B;FCGR2B;2213
FCGR3A/B;FCGR3A;2214
;FCGR3B;2215
FCRL2;FCRL2;79368
FGD2;FGD2;221472
FGFBP2;FGFBP2;83888
FJX1;FJX1;24147
FKBP1A;FKBP1A;2280
FLT3;FLT3;2322
FN1;FN1;2335
FOS;FOS;2353
FOSL1;FOSL1;8061
FOXO1;FOXO1;2308
FOXP3;FOXP3;50943
FPR1;FPR1;2357
FYN;FYN;2534
G6PD;G6PD;2539
GAPDH;GAPDH;2597
GATA3;GATA3;2625
GBP1;GBP1;2633
GBP2;GBP2;2634
GBP4;GBP4;115361
GBP5;GBP5;115362
GDF15;GDF15;9518
GEMIN7;GEMIN7;79760
GIMAP5;GIMAP5;55340
GNG11;GNG11;2791
GNLY;GNLY;10578
GUSB;GUSB;2990
GZMA;GZMA;3001
GZMB;GZMB;3002
GZMH;GZMH;2999
GZMK;GZMK;3003
HAVCR1;HAVCR1;26762
HAVCR2;HAVCR2;84868
HDAC3;HDAC3;8841
HDAC6;HDAC6;10013
HDC;HDC;3067
HEG1;HEG1;57493
HFE;HFE;3077
HIF1A;HIF1A;3091
HK2;HK2;3099
HLA-A;HLA-A;3105
HLA-B;HLA-B;3106
HLA-C;HLA-C;3107
HLA-DMA;HLA-DMA;3108
HLA-DMB;HLA-DMB;3109
HLA-DPA1;HLA-DPA1;3113
HLA-DPB1;HLA-DPB1;3115
HLA-DQA1;HLA-DQA1;3117
HLA-DQB1;HLA-DQB1;3119
HLA-DRA;HLA-DRA;3122
HLA-DRB1;HLA-DRB1;3123
HLA-DRB3;HLA-DRB3;3125
HLA-E;HLA-E;3133
HLA-F;HLA-F;3134
HLA-G;HLA-G;3135
HMGB1;HMGB1;3146
HNF1A;HNF1A;6927
HPRT1;HPRT1;3251
HSD11B1;HSD11B1;3290
HSP90AA1;HSP90AA1;3320
HSPA12B;HSPA12B;116835
HYAL1;HYAL1;3373
HYAL2;HYAL2;8692
ICAM1;ICAM1;3383
ICAM2;ICAM2;3384
ICOS;ICOS;29851
ICOSLG;ICOSLG;23308
IDO1;IDO1;3620
IER5;IER5;51278
IFI27;IFI27;3429
IFI30;IFI30;10437
IFI44;IFI44;10561
IFI6;IFI6;2537
IFIT1;IFIT1;3434
IFITM1;IFITM1;8519
IFITM2;IFITM2;10581
IFITM3;IFITM3;10410
IFNA1;IFNA1;3439
IFNAR1;IFNAR1;3454
IFNAR2;IFNAR2;3455
IFNG;IFNG;3458
IFNGR1;IFNGR1;3459
IFNGR2;IFNGR2;3460
IGF1;IGF1;3479
IGF1R;IGF1R;3480
IGF2R;IGF2R;3482
IGFBP1;IGFBP1;3484
IGFL1;IGFL1;374918
IGHA1;IGHA1;3493
IGHG1;IGHG1;3500
IGHG2;IGHG2;3501
IGHG3;IGHG3;3502
IGHG4;IGHG4;3503
IGHM;IGHM;3507
IGKC;IGKC;3514
IGLC1;IGLC1;3537
IKBKB;IKBKB;3551
IKBKG;IKBKG;8517
IKZF1;IKZF1;10320
IKZF2;IKZF2;22807
IL10;IL10;3586
IL10RA;IL10RA;3587
IL10RB;IL10RB;3588
IL12A;IL12A;3592
IL12B;IL12B;3593
IL12RB1;IL12RB1;3594
IL12RB2;IL12RB2;3595
IL13;IL13;3596
IL15;IL15;3600
IL16;IL16;3603
IL17A;IL17A;3605
IL17F;IL17F;112744
IL17RA;IL17RA;23765
IL17RB;IL17RB;55540
IL17RC;IL17RC;84818
IL18;IL18;3606
IL18BP;IL18BP;10068
IL18RAP;IL18RAP;8807
IL1A;IL1A;3552
IL1B;IL1B;3553
IL1R1;IL1R1;3554
IL1R2;IL1R2;7850
IL1RAP;IL1RAP;3556
